PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32669287","Comprehensive mapping of immune perturbations associated with severe COVID-19","Kuri-Cervantes L, Pampena MB, Meng W, Rosenfeld AM, Ittner CAG, Weisman AR, Agyekum RS, Mathew D, Baxter AE, Vella LA, Kuthuru O, Apostolidis SA, Bershaw L, Dougherty J, Greenplate AR, Pattekar A, Kim J, Han N, Gouma S, Weirick ME, Arevalo CP, Bolton MJ, Goodwin EC, Anderson EM, Hensley SE, Jones TK, Mangalmurti NS, Luning Prak ET, Wherry EJ, Meyer NJ, Betts MR.","Sci Immunol. 2020 Jul 15;5(49):eabd7114. doi: 10.1126/sciimmunol.abd7114.","Kuri-Cervantes L","Sci Immunol","2020","2020/07/17","PMC7402634","","10.1126/sciimmunol.abd7114"
"32620560","TOX is expressed by exhausted and polyfunctional human effector memory CD8(+) T cells","Sekine T, Perez-Potti A, Nguyen S, Gorin JB, Wu VH, Gostick E, Llewellyn-Lacey S, Hammer Q, Falck-Jones S, Vangeti S, Yu M, Smed-Sörensen A, Gaballa A, Uhlin M, Sandberg JK, Brander C, Nowak P, Goepfert PA, Price DA, Betts MR, Buggert M.","Sci Immunol. 2020 Jul 3;5(49):eaba7918. doi: 10.1126/sciimmunol.aba7918.","Sekine T","Sci Immunol","2020","2020/07/05","","","10.1126/sciimmunol.aba7918"
"32526556","Jigsaw falling into place: A review and perspective of lymphoid tissue CD8+ T cells and control of HIV","Nguyen S, Sada-Japp A, Petrovas C, Betts MR.","Mol Immunol. 2020 Aug;124:42-50. doi: 10.1016/j.molimm.2020.05.016. Epub 2020 Jun 8.","Nguyen S","Mol Immunol","2020","2020/06/12","PMC7279761","","10.1016/j.molimm.2020.05.016"
"32511554","Erythrocytes Reveal Complement Activation in Patients with COVID-19","Lam LM, Murphy SJ, Kuri-Cervantes L, Weisman AR, Ittner CAG, Reilly JP, Pampena MB, Betts MR, Wherry EJ, Song WC, Lambris JD, Cines DB, Meyer NJ, Mangalmurti NS.","medRxiv. 2020 May 22:2020.05.20.20104398. doi: 10.1101/2020.05.20.20104398. Preprint.","Lam LM","medRxiv","2020","2020/06/09","PMC7274235","","10.1101/2020.05.20.20104398"
"32511394","Immunologic perturbations in severe COVID-19/SARS-CoV-2 infection","Kuri-Cervantes L, Pampena MB, Meng W, Rosenfeld AM, Ittner CAG, Weisman AR, Agyekum R, Mathew D, Baxter AE, Vella L, Kuthuru O, Apostolidis S, Bershaw L, Dougherty J, Greenplate AR, Pattekar A, Kim J, Han N, Gouma S, Weirick ME, Arevalo CP, Bolton MJ, Goodwin EC, Anderson EM, Hensley SE, Jones TK, Mangalmurti NS, Luning Prak ET, Wherry EJ, Meyer NJ, Betts MR.","bioRxiv. 2020 May 18:2020.05.18.101717. doi: 10.1101/2020.05.18.101717. Preprint.","Kuri-Cervantes L","bioRxiv","2020","2020/06/09","PMC7263541","","10.1101/2020.05.18.101717"
"32511371","Deep immune profiling of COVID-19 patients reveals patient heterogeneity and distinct immunotypes with implications for therapeutic interventions","Mathew D, Giles JR, Baxter AE, Greenplate AR, Wu JE, Alanio C, Oldridge DA, Kuri-Cervantes L, Pampena MB, D'Andrea K, Manne S, Chen Z, Huang YJ, Reilly JP, Weisman AR, Ittner CAG, Kuthuru O, Dougherty J, Nzingha K, Han N, Kim J, Pattekar A, Goodwin EC, Anderson EM, Weirick ME, Gouma S, Arevalo CP, Bolton MJ, Chen F, Lacey SF, Hensley SE, Apostolidis S, Huang AC, Vella LA; UPenn COVID Processing Unit, Betts MR, Meyer NJ, Wherry EJ.","bioRxiv. 2020 May 23:2020.05.20.106401. doi: 10.1101/2020.05.20.106401. Preprint.","Mathew D","bioRxiv","2020","2020/06/09","PMC7263500","","10.1101/2020.05.20.106401"
"32376796","Type I IFN response associated with mTOR activation in the TAFRO subtype of idiopathic multicentric Castleman disease","Pai RL, Japp AS, Gonzalez M, Rasheed RF, Okumura M, Arenas D, Pierson SK, Powers V, Layman AAK, Kao C, Hakonarson H, van Rhee F, Betts MR, Kambayashi T, Fajgenbaum DC.","JCI Insight. 2020 May 7;5(9):e135031. doi: 10.1172/jci.insight.135031.","Pai RL","JCI Insight","2020","2020/05/08","PMC7253017","","10.1172/jci.insight.135031"
"32353250","The Transcription Factor T-bet Resolves Memory B Cell Subsets with Distinct Tissue Distributions and Antibody Specificities in Mice and Humans","Johnson JL, Rosenthal RL, Knox JJ, Myles A, Naradikian MS, Madej J, Kostiv M, Rosenfeld AM, Meng W, Christensen SR, Hensley SE, Yewdell J, Canaday DH, Zhu J, McDermott AB, Dori Y, Itkin M, Wherry EJ, Pardi N, Weissman D, Naji A, Prak ETL, Betts MR, Cancro MP.","Immunity. 2020 May 19;52(5):842-855.e6. doi: 10.1016/j.immuni.2020.03.020. Epub 2020 Apr 29.","Johnson JL","Immunity","2020","2020/05/01","PMC7242168","NIHMS1584982","10.1016/j.immuni.2020.03.020"
"32312993","High throughput pMHC-I tetramer library production using chaperone-mediated peptide exchange","Overall SA, Toor JS, Hao S, Yarmarkovich M, Sara M O'Rourke, Morozov GI, Nguyen S, Japp AS, Gonzalez N, Moschidi D, Betts MR, Maris JM, Smibert P, Sgourakis NG.","Nat Commun. 2020 Apr 20;11(1):1909. doi: 10.1038/s41467-020-15710-1.","Overall SA","Nat Commun","2020","2020/04/22","PMC7170893","","10.1038/s41467-020-15710-1"
"31852798","Elite control of HIV is associated with distinct functional and transcriptional signatures in lymphoid tissue CD8(+) T cells","Nguyen S, Deleage C, Darko S, Ransier A, Truong DP, Agarwal D, Japp AS, Wu VH, Kuri-Cervantes L, Abdel-Mohsen M, Del Rio Estrada PM, Ablanedo-Terrazas Y, Gostick E, Hoxie JA, Zhang NR, Naji A, Reyes-Terán G, Estes JD, Price DA, Douek DC, Deeks SG, Buggert M, Betts MR.","Sci Transl Med. 2019 Dec 18;11(523):eaax4077. doi: 10.1126/scitranslmed.aax4077.","Nguyen S","Sci Transl Med","2019","2019/12/20","PMC7265335","NIHMS1592492","10.1126/scitranslmed.aax4077"
"31408438","Identifying and targeting pathogenic PI3K/AKT/mTOR signaling in IL-6-blockade-refractory idiopathic multicentric Castleman disease","Fajgenbaum DC, Langan RA, Japp AS, Partridge HL, Pierson SK, Singh A, Arenas DJ, Ruth JR, Nabel CS, Stone K, Okumura M, Schwarer A, Jose FF, Hamerschlak N, Wertheim GB, Jordan MB, Cohen AD, Krymskaya V, Rubenstein A, Betts MR, Kambayashi T, van Rhee F, Uldrick TS.","J Clin Invest. 2019 Aug 13;129(10):4451-4463. doi: 10.1172/JCI126091.","Fajgenbaum DC","J Clin Invest","2019","2019/08/14","PMC6763254","","10.1172/JCI126091"
"31278120","Human CD4(+)CD103(+) cutaneous resident memory T cells are found in the circulation of healthy individuals","Klicznik MM, Morawski PA, Höllbacher B, Varkhande SR, Motley SJ, Kuri-Cervantes L, Goodwin E, Rosenblum MD, Long SA, Brachtl G, Duhen T, Betts MR, Campbell DJ, Gratz IK.","Sci Immunol. 2019 Jul 5;4(37):eaav8995. doi: 10.1126/sciimmunol.aav8995.","Klicznik MM","Sci Immunol","2019","2019/07/07","PMC7057121","NIHMS1056378","10.1126/sciimmunol.aav8995"
"31264971","T follicular helper cells in human efferent lymph retain lymphoid characteristics","Vella LA, Buggert M, Manne S, Herati RS, Sayin I, Kuri-Cervantes L, Bukh Brody I, O'Boyle KC, Kaprielian H, Giles JR, Nguyen S, Muselman A, Antel JP, Bar-Or A, Johnson ME, Canaday DH, Naji A, Ganusov VV, Laufer TM, Wells AD, Dori Y, Itkin MG, Betts MR, Wherry EJ.","J Clin Invest. 2019 Jul 2;129(8):3185-3200. doi: 10.1172/JCI125628. eCollection 2019 Jul 2.","Vella LA","J Clin Invest","2019","2019/07/03","PMC6668682","","10.1172/JCI125628"
"30998783","Distinct phenotype and function of circulating Vδ1+ and Vδ2+ γδT-cells in acute and chronic hepatitis B","Chang KM, Traum D, Park JJ, Ho S, Ojiro K, Wong DK, Wahed AS, Terrault NA, Khalili M, Sterling RK, Janssen HLA, Shuhart MC, Lau DT, Roberts LR, Johnson GS, Kaplan DE, Betts MR, Lee WM, Lok ASF; Hepatitis B Research Network (HBRN).","PLoS Pathog. 2019 Apr 18;15(4):e1007715. doi: 10.1371/journal.ppat.1007715. eCollection 2019 Apr.","Chang KM","PLoS Pathog","2019","2019/04/19","PMC6490945","","10.1371/journal.ppat.1007715"
"30993250","Susceptibility to SIV Infection After Adenoviral Vaccination in a Low Dose Rhesus Macaque Challenge Model","Brody IB, Calcedo R, Connell MJ, Carnathan DG, Nason M, Lawson BO, Nega MT, Boyd S, Qin Q, Vanderford TH, Wilson JM, Wilson JM, Silvestri G, Betts MR.","Pathog Immun. 2019 Jan 29;4(1):1-20. doi: 10.20411/pai.v4i1.241. eCollection 2019.","Brody IB","Pathog Immun","2019","2019/04/18","PMC6457171","","10.20411/pai.v4i1.241"
"30547050","AAV8 Gene Therapy for Crigler-Najjar Syndrome in Macaques Elicited Transgene T Cell Responses That Are Resident to the Liver","Greig JA, Calcedo R, Kuri-Cervantes L, Nordin JML, Albrecht J, Bote E, Goode T, Chroscinski EA, Bell P, Richman LK, Betts MR, Wilson JM.","Mol Ther Methods Clin Dev. 2018 Dec 5;11:191-201. doi: 10.1016/j.omtm.2018.10.012. eCollection 2018 Dec 14.","Greig JA","Mol Ther Methods Clin Dev","2018","2018/12/15","PMC6282099","","10.1016/j.omtm.2018.10.012"
"30520744","Everything in its right place: resident memory CD8+ T cell immunosurveillance of HIV infection","Buggert M, Japp AS, Betts MR.","Curr Opin HIV AIDS. 2019 Mar;14(2):93-99. doi: 10.1097/COH.0000000000000523.","Buggert M","Curr Opin HIV AIDS","2019","2018/12/07","","","10.1097/COH.0000000000000523"
"30442667","The CD4(-)CD8(-) MAIT cell subpopulation is a functionally distinct subset developmentally related to the main CD8(+) MAIT cell pool","Dias J, Boulouis C, Gorin JB, van den Biggelaar RHGA, Lal KG, Gibbs A, Loh L, Gulam MY, Sia WR, Bari S, Hwang WYK, Nixon DF, Nguyen S, Betts MR, Buggert M, Eller MA, Broliden K, Tjernlund A, Sandberg JK, Leeansyah E.","Proc Natl Acad Sci U S A. 2018 Dec 4;115(49):E11513-E11522. doi: 10.1073/pnas.1812273115. Epub 2018 Nov 15.","Dias J","Proc Natl Acad Sci U S A","2018","2018/11/17","PMC6298106","","10.1073/pnas.1812273115"
"30102290","Assessment of the Synaptic Interface of Primary Human T Cells from Peripheral Blood and Lymphoid Tissue","Steblyanko M, Anikeeva N, Buggert M, Betts MR, Sykulev Y.","J Vis Exp. 2018 Jul 30;(137):58143. doi: 10.3791/58143.","Steblyanko M","J Vis Exp","2018","2018/08/14","PMC6126586","","10.3791/58143"
"29858286","Identification and characterization of HIV-specific resident memory CD8(+) T cells in human lymphoid tissue","Buggert M, Nguyen S, Salgado-Montes de Oca G, Bengsch B, Darko S, Ransier A, Roberts ER, Del Alcazar D, Brody IB, Vella LA, Beura L, Wijeyesinghe S, Herati RS, Del Rio Estrada PM, Ablanedo-Terrazas Y, Kuri-Cervantes L, Sada Japp A, Manne S, Vartanian S, Huffman A, Sandberg JK, Gostick E, Nadolski G, Silvestri G, Canaday DH, Price DA, Petrovas C, Su LF, Vahedi G, Dori Y, Frank I, Itkin MG, Wherry EJ, Deeks SG, Naji A, Reyes-Terán G, Masopust D, Douek DC, Betts MR.","Sci Immunol. 2018 Jun 1;3(24):eaar4526. doi: 10.1126/sciimmunol.aar4526.","Buggert M","Sci Immunol","2018","2018/06/03","PMC6357781","NIHMS997695","10.1126/sciimmunol.aar4526"
"29769249","Spatial distribution and function of T follicular regulatory cells in human lymph nodes","Sayin I, Radtke AJ, Vella LA, Jin W, Wherry EJ, Buggert M, Betts MR, Herati RS, Germain RN, Canaday DH.","J Exp Med. 2018 Jun 4;215(6):1531-1542. doi: 10.1084/jem.20171940. Epub 2018 May 16.","Sayin I","J Exp Med","2018","2018/05/18","PMC5987920","","10.1084/jem.20171940"
"29669853","CD32 is expressed on cells with transcriptionally active HIV but does not enrich for HIV DNA in resting T cells","Abdel-Mohsen M, Kuri-Cervantes L, Grau-Exposito J, Spivak AM, Nell RA, Tomescu C, Vadrevu SK, Giron LB, Serra-Peinado C, Genescà M, Castellví J, Wu G, Del Rio Estrada PM, González-Navarro M, Lynn K, King CT, Vemula S, Cox K, Wan Y, Li Q, Mounzer K, Kostman J, Frank I, Paiardini M, Hazuda D, Reyes-Terán G, Richman D, Howell B, Tebas P, Martinez-Picado J, Planelles V, Buzon MJ, Betts MR, Montaner LJ.","Sci Transl Med. 2018 Apr 18;10(437):eaar6759. doi: 10.1126/scitranslmed.aar6759.","Abdel-Mohsen M","Sci Transl Med","2018","2018/04/20","PMC6282755","NIHMS999138","10.1126/scitranslmed.aar6759"
"29652923","Limited immune surveillance in lymphoid tissue by cytolytic CD4+ T cells during health and HIV disease","Buggert M, Nguyen S, McLane LM, Steblyanko M, Anikeeva N, Paquin-Proulx D, Del Rio Estrada PM, Ablanedo-Terrazas Y, Noyan K, Reuter MA, Demers K, Sandberg JK, Eller MA, Streeck H, Jansson M, Nowak P, Sönnerborg A, Canaday DH, Naji A, Wherry EJ, Robb ML, Deeks SG, Reyes-Teran G, Sykulev Y, Karlsson AC, Betts MR.","PLoS Pathog. 2018 Apr 13;14(4):e1006973. doi: 10.1371/journal.ppat.1006973. eCollection 2018 Apr.","Buggert M","PLoS Pathog","2018","2018/04/14","PMC5919077","","10.1371/journal.ppat.1006973"
"29626170","The receptor repertoire and functional profile of follicular T cells in HIV-infected lymph nodes","Wendel BS, Del Alcazar D, He C, Del Río-Estrada PM, Aiamkitsumrit B, Ablanedo-Terrazas Y, Hernandez SM, Ma KY, Betts MR, Pulido L, Huang J, Gimotty PA, Reyes-Terán G, Jiang N, Su LF.","Sci Immunol. 2018 Apr 6;3(22):eaan8884. doi: 10.1126/sciimmunol.aan8884.","Wendel BS","Sci Immunol","2018","2018/04/08","PMC6203891","NIHMS992753","10.1126/sciimmunol.aan8884"
"29618662","Human MAIT cells exit peripheral tissues and recirculate via lymph in steady state conditions","Voillet V, Buggert M, Slichter CK, Berkson JD, Mair F, Addison MM, Dori Y, Nadolski G, Itkin MG, Gottardo R, Betts MR, Prlic M.","JCI Insight. 2018 Apr 5;3(7):e98487. doi: 10.1172/jci.insight.98487. eCollection 2018 Apr 5.","Voillet V","JCI Insight","2018","2018/04/06","PMC5928862","","10.1172/jci.insight.98487"
"29403500","Human Immunodeficiency Virus Type-1 Elite Controllers Maintain Low Co-Expression of Inhibitory Receptors on CD4+ T Cells","Noyan K, Nguyen S, Betts MR, Sönnerborg A, Buggert M.","Front Immunol. 2018 Jan 22;9:19. doi: 10.3389/fimmu.2018.00019. eCollection 2018.","Noyan K","Front Immunol","2018","2018/02/07","PMC5786543","","10.3389/fimmu.2018.00019"
"29262326","HIV-Specific CD8(+) T Cells Exhibit Reduced and Differentially Regulated Cytolytic Activity in Lymphoid Tissue","Reuter MA, Del Rio Estrada PM, Buggert M, Petrovas C, Ferrando-Martinez S, Nguyen S, Sada Japp A, Ablanedo-Terrazas Y, Rivero-Arrieta A, Kuri-Cervantes L, Gunzelman HM, Gostick E, Price DA, Koup RA, Naji A, Canaday DH, Reyes-Terán G, Betts MR.","Cell Rep. 2017 Dec 19;21(12):3458-3470. doi: 10.1016/j.celrep.2017.11.075.","Reuter MA","Cell Rep","2017","2017/12/21","PMC5764192","NIHMS927648","10.1016/j.celrep.2017.11.075"
"28739077","T-bet-expressing B cells during HIV and HCV infections","Knox JJ, Kaplan DE, Betts MR.","Cell Immunol. 2017 Nov;321:26-34. doi: 10.1016/j.cellimm.2017.04.012. Epub 2017 Jul 11.","Knox JJ","Cell Immunol","2017","2017/07/26","PMC5732046","NIHMS894858","10.1016/j.cellimm.2017.04.012"
"28422752","T-bet+ B cells are induced by human viral infections and dominate the HIV gp140 response","Knox JJ, Buggert M, Kardava L, Seaton KE, Eller MA, Canaday DH, Robb ML, Ostrowski MA, Deeks SG, Slifka MK, Tomaras GD, Moir S, Moody MA, Betts MR.","JCI Insight. 2017 Apr 20;2(8):e92943. doi: 10.1172/jci.insight.92943. eCollection 2017 Apr 20.","Knox JJ","JCI Insight","2017","2017/04/20","PMC5396521","","10.1172/jci.insight.92943"
"28137880","Class I-restricted T-cell responses to a polymorphic peptide in a gene therapy clinical trial for α-1-antitrypsin deficiency","Calcedo R, Somanathan S, Qin Q, Betts MR, Rech AJ, Vonderheide RH, Mueller C, Flotte TR, Wilson JM.","Proc Natl Acad Sci U S A. 2017 Feb 14;114(7):1655-1659. doi: 10.1073/pnas.1617726114. Epub 2017 Jan 30.","Calcedo R","Proc Natl Acad Sci U S A","2017","2017/02/01","PMC5320988","","10.1073/pnas.1617726114"
"28100833","Follicular CD8 T cells accumulate in HIV infection and can kill infected cells in vitro via bispecific antibodies","Petrovas C, Ferrando-Martinez S, Gerner MY, Casazza JP, Pegu A, Deleage C, Cooper A, Hataye J, Andrews S, Ambrozak D, Del Río Estrada PM, Boritz E, Paris R, Moysi E, Boswell KL, Ruiz-Mateos E, Vagios I, Leal M, Ablanedo-Terrazas Y, Rivero A, Gonzalez-Hernandez LA, McDermott AB, Moir S, Reyes-Terán G, Docobo F, Pantaleo G, Douek DC, Betts MR, Estes JD, Germain RN, Mascola JR, Koup RA.","Sci Transl Med. 2017 Jan 18;9(373):eaag2285. doi: 10.1126/scitranslmed.aag2285.","Petrovas C","Sci Transl Med","2017","2017/01/20","PMC5497679","NIHMS870441","10.1126/scitranslmed.aag2285"
"28084312","Perturbed CD8(+) T cell TIGIT/CD226/PVR axis despite early initiation of antiretroviral treatment in HIV infected individuals","Tauriainen J, Scharf L, Frederiksen J, Naji A, Ljunggren HG, Sönnerborg A, Lund O, Reyes-Terán G, Hecht FM, Deeks SG, Betts MR, Buggert M, Karlsson AC.","Sci Rep. 2017 Jan 13;7:40354. doi: 10.1038/srep40354.","Tauriainen J","Sci Rep","2017","2017/01/14","PMC5233961","","10.1038/srep40354"
"28036372","Collapse of Cytolytic Potential in SIV-Specific CD8+ T Cells Following Acute SIV Infection in Rhesus Macaques","Roberts ER, Carnathan DG, Li H, Shaw GM, Silvestri G, Betts MR.","PLoS Pathog. 2016 Dec 30;12(12):e1006135. doi: 10.1371/journal.ppat.1006135. eCollection 2016 Dec.","Roberts ER","PLoS Pathog","2016","2016/12/31","PMC5231392","","10.1371/journal.ppat.1006135"
"27525551","CD4+ T cells with an activated and exhausted phenotype distinguish immunodeficiency during aviremic HIV-2 infection","Buggert M, Frederiksen J, Lund O, Betts MR, Biague A, Nielsen M, Tauriainen J, Norrgren H, Medstrand P, Karlsson AC, Jansson M; SWEGUB CORE group.","AIDS. 2016 Oct 23;30(16):2415-2426. doi: 10.1097/QAD.0000000000001223.","Buggert M","AIDS","2016","2016/08/16","PMC5051526","","10.1097/QAD.0000000000001223"
"27610109","Corrigendum: Characterization of T-bet and Eomes in Peripheral Human Immune Cells","Knox JJ, Cosma GL, Betts MR, McLane LM.","Front Immunol. 2016 Sep 8;7:337. doi: 10.3389/fimmu.2016.00337. eCollection 2016.","Knox JJ","Front Immunol","2016","2016/09/10","PMC5015462","","10.3389/fimmu.2016.00337"
"27486665","Temporal Dynamics of CD8+ T Cell Effector Responses during Primary HIV Infection","Demers KR, Makedonas G, Buggert M, Eller MA, Ratcliffe SJ, Goonetilleke N, Li CK, Eller LA, Rono K, Maganga L, Nitayaphan S, Kibuuka H, Routy JP, Slifka MK, Haynes BF, McMichael AJ, Bernard NF, Robb ML, Betts MR.","PLoS Pathog. 2016 Aug 3;12(8):e1005805. doi: 10.1371/journal.ppat.1005805. eCollection 2016 Aug.","Demers KR","PLoS Pathog","2016","2016/08/04","PMC4972399","","10.1371/journal.ppat.1005805"
"27021071","Statin modulation of monocyte phenotype and function: implications for HIV-1-associated neurocognitive disorders","Yadav A, Betts MR, Collman RG.","J Neurovirol. 2016 Oct;22(5):584-596. doi: 10.1007/s13365-016-0433-8. Epub 2016 Mar 28.","Yadav A","J Neurovirol","2016","2016/03/30","PMC5040617","NIHMS773288","10.1007/s13365-016-0433-8"
"26937037","Derivation and Characterization of a CD4-Independent, Non-CD4-Tropic Simian Immunodeficiency Virus","Swanstrom AE, Haggarty B, Jordan APO, Romano J, Leslie GJ, Aye PP, Marx PA, Lackner AA, Del Prete GQ, Robinson JE, Betts MR, Montefiori DC, LaBranche CC, Hoxie JA.","J Virol. 2016 Apr 29;90(10):4966-4980. doi: 10.1128/JVI.02851-15. Print 2016 May 15.","Swanstrom AE","J Virol","2016","2016/03/04","PMC4859711","","10.1128/JVI.02851-15"
"26842474","Expansion of Inefficient HIV-Specific CD8 T Cells during Acute Infection","Eller MA, Goonetilleke N, Tassaneetrithep B, Eller LA, Costanzo MC, Johnson S, Betts MR, Krebs SJ, Slike BM, Nitayaphan S, Rono K, Tovanabutra S, Maganga L, Kibuuka H, Jagodzinski L, Peel S, Rolland M, Marovich MA, Kim JH, Michael NL, Robb ML, Streeck H.","J Virol. 2016 Mar 28;90(8):4005-4016. doi: 10.1128/JVI.02785-15. Print 2016 Apr.","Eller MA","J Virol","2016","2016/02/05","PMC4810544","","10.1128/JVI.02785-15"
